,Palabra,Frecuencia
1,de,75
2,que,70
3,la,64
4,el,53
5,y,46
6,se,39
7,no,36
8,dursley,36
9,los,35
10,en,34
11,a,33
12,un,27
13,su,25
14,señor,24
15,una,23
16,con,19
17,había,17
18,lo,16
19,al,16
20,las,15
21,pero,13
22,estaba,13
23,señora,13
24,por,12
25,era,12
26,mientras,11
27,le,11
28,potter,9
29,para,9
30,gato,8
31,lechuzas,8
32,algo,8
33,del,8
34,tenía,7
35,aquel,7
36,eso,6
37,como,6
38,han,6
39,niño,6
40,noche,6
41,taladros,6
42,cuando,6
43,hermana,6
44,gente,6
45,muy,6
46,día,6
47,dudley,6
48,si,6
49,tenían,5
50,sí,5
51,capa,5
52,más,5
53,porque,5
54,tiempo,4
55,tenido,4
56,qué,4
57,visto,4
58,hasta,4
59,hijo,4
60,él,4
61,tan,4
62,ni,4
63,vio,4
64,dijo,4
65,cuenta,4
66,personas,4
67,sobre,4
68,eran,4
69,casa,4
70,aquella,4
71,ser,4
72,casi,4
73,sin,4
74,es,4
75,mirada,3
76,así,3
77,vez,3
78,calle,3
79,entró,3
80,debía,3
81,hoy,3
82,llevaba,3
83,poco,3
84,volvió,3
85,después,3
86,esquina,3
87,normal,3
88,alejó,3
89,coche,3
90,otra,3
91,también,3
92,trató,3
93,gran,3
94,nada,3
95,mañana,3
96,nunca,3
97,fuera,3
98,seguro,3
99,privet,3
100,llamado,3
101,hombre,3
102,estaban,3
103,drive,3
104,harry,3
105,quedó,3
106,4,3
107,sus,3
108,número,3
109,aunque,3
110,habitual,3
111,mayor,3
112,unos,2
113,cerca,2
114,sólo,2
115,alta,2
116,siquiera,2
117,siempre,2
118,cuello,2
119,luz,2
120,dejó,2
121,hubiera,2
122,toda,2
123,lugar,2
124,nueva,2
125,ha,2
126,apresuró,2
127,extraños,2
128,oficina,2
129,tarde,2
130,lechuza,2
131,concentrarse,2
132,decirle,2
133,misterioso,2
134,unas,2
135,plano,2
136,ciudad,2
137,durante,2
138,dos,2
139,dio,2
140,o,2
141,entre,2
142,darse,2
143,voz,2
144,cabeza,2
145,conducta,2
146,grunnings,2
147,pudo,2
148,atigrado,2
149,pensando,2
150,querían,2
151,cogió,2
152,todas,2
153,ventana,2
154,volando,2
155,esposa,2
156,puerta,2
157,vecinos,2
158,antes,2
159,cinco,2
160,fugaces,2
161,iba,2
162,jóvenes,2
163,extraña,2
164,esperaba,2
165,pequeño,2
166,humor,2
167,estrellas,2
168,ocurrió,2
169,hacia,2
170,hacía,2
171,desde,2
172,veían,2
173,mejor,2
174,todo,2
175,dirigirse,2
176,panadería,2
177,temor,2
178,acera,2
179,bueno,2
180,decía,2
181,ya,2
182,grupo,2
183,jim,2
184,pasaba,2
185,celebrar,2
186,momento,2
187,todavía,2
188,aves,2
189,podía,2
190,cielo,2
191,fue,2
192,deberían,1
193,usted,1
194,feliz,1
195,finalmente,1
196,helado,1
197,quienustedsabe,1
198,querido,1
199,muggles,1
200,abrazado,1
201,gritos,1
202,secretaria,1
203,completamente,1
204,molestarme,1
205,correr,1
206,contuvo,1
207,echó,1
208,abrazó,1
209,puede,1
210,alegrarse,1
211,hay,1
212,anciano,1
213,cruzar,1
214,este,1
215,ido,1
216,muchísimas,1
217,mi,1
218,apellido,1
219,comportando,1
220,chocó,1
221,preocupado,1
222,punto,1
223,edificio,1
224,costó,1
225,estúpido,1
226,modos,1
227,todos,1
228,desconocido,1
229,reprochárselo,1
230,mención,1
231,cualquier,1
232,especial,1
233,perdón,1
234,ante,1
235,mucho,1
236,trastornaba,1
237,preocupar,1
238,sentido,1
239,harold,1
240,harvey,1
241,llamarse,1
242,podría,1
243,llamara,1
244,sobrino,1
245,pensándolo,1
246,llamaban,1
247,pensaba,1
248,bigotes,1
249,disculpe,1
250,marcar,1
251,pasaban,1
252,quería,1
253,molestaran,1
